table,domain_id,domain_name
inventory,0,Film Rental Management
payment,0,Film Rental Management
rental,0,Film Rental Management
address,1,Customer Address Management
category,2,FilmCatalogAndCategoryManagement
film,2,FilmCatalogAndCategoryManagement
language,2,FilmCatalogAndCategoryManagement
actor,3,Customer and Staff Management
customer,3,Customer and Staff Management
staff,3,Customer and Staff Management
store,3,Customer and Staff Management
city,4,FilmMetadataManagement
film_category,4,FilmMetadataManagement
