table_i,table_j,Sim_T
actor,customer,0.924769
actor,staff,0.912099
staff,store,0.90522
film_category,inventory,0.894409
customer,staff,0.879388
customer,store,0.85281
category,language,0.840629
film,film_category,0.826343
inventory,rental,0.80443
film,language,0.794523
payment,rental,0.789003
city,film_category,0.778463
category,film_category,0.77837
category,staff,0.747689
actor,category,0.746623
inventory,store,0.743389
category,customer,0.741985
customer,inventory,0.7386
inventory,staff,0.732984
film,inventory,0.729046
film_category,rental,0.72794
customer,film_category,0.722389
film_category,staff,0.719781
address,film_category,0.717222
address,city,0.71346
inventory,payment,0.71177
address,store,0.706878
category,rental,0.705951
actor,film_category,0.703318
language,staff,0.702513
film_category,store,0.701031
actor,language,0.700888
customer,language,0.699759
film_category,payment,0.697374
customer,rental,0.680721
payment,store,0.680159
category,inventory,0.675628
language,rental,0.674304
customer,payment,0.670627
rental,store,0.667994
category,payment,0.667878
category,store,0.667307
language,payment,0.666957
address,category,0.660791
city,film,0.657432
rental,staff,0.65474
category,city,0.654148
actor,rental,0.65107
